COM,status,mean_altitude,superficie,is_metropole,metropole_name
51172,Commune simple,95.0,469.0,0,
10050,Commune simple,189.0,697.0,0,
76086,Commune simple,148.0,476.0,0,
17288,Commune simple,36.0,520.0,0,
54412,Commune simple,238.0,295.0,0,
58194,Préfecture,190.0,1735.0,0,
08364,Commune simple,96.0,344.0,0,
26270,Commune simple,640.0,974.0,0,
24274,Commune simple,111.0,1953.0,0,
38448,Commune simple,228.0,728.0,0,
54067,Commune simple,271.0,1196.0,0,
27095,Commune simple,119.0,932.0,0,
54263,Chef-lieu canton,221.0,450.0,0,
07291,Commune simple,341.0,4356.0,0,
45055,Commune simple,124.0,1269.0,0,
56262,Commune simple,19.0,624.0,0,
77065,Commune simple,72.0,617.0,0,
41092,Commune simple,99.0,1462.0,0,
09114,Commune simple,731.0,941.0,0,
62115,Commune simple,100.0,568.0,0,
33506,Chef-lieu canton,77.0,3194.0,0,
62014,Chef-lieu canton,23.0,3325.0,0,
74243,Sous-préfecture,474.0,1061.0,0,
42001,Commune simple,689.0,890.0,0,
62723,Commune simple,30.0,522.0,0,
53159,Commune simple,118.0,1920.0,0,
08482,Commune simple,268.0,529.0,0,
49085,Commune simple,91.0,1225.0,0,
91249,Commune simple,131.0,1467.0,0,
05040,Chef-lieu canton,1168.0,5703.0,0,
58117,Commune simple,172.0,444.0,0,
28275,Commune simple,138.0,1925.0,0,
39264,Commune simple,314.0,326.0,0,
14677,Commune simple,156.0,713.0,0,
64072,Commune simple,238.0,1737.0,0,
60583,Commune simple,94.0,441.0,0,
26289,Chef-lieu canton,388.0,1572.0,0,
03029,Commune simple,311.0,1026.0,0,
47285,Commune simple,64.0,1725.0,0,
67441,Commune simple,209.0,513.0,0,
10230,Commune simple,133.0,1510.0,0,
18181,Commune simple,143.0,3377.0,0,
84077,Commune simple,218.0,476.0,0,
65127,Commune simple,582.0,2214.0,0,
14729,Commune simple,90.0,1247.0,0,
01410,Commune simple,638.0,1424.0,0,
61018,Commune simple,204.0,1218.0,0,
68225,Commune simple,220.0,2408.0,0,
40329,Commune simple,101.0,1114.0,0,
71288,Commune simple,297.0,503.0,0,
51069,Commune simple,147.0,263.0,0,
49283,Chef-lieu canton,41.0,3441.0,0,
67094,Commune simple,256.0,149.0,0,
91232,Chef-lieu canton,117.0,453.0,0,
31028,Chef-lieu canton,365.0,1817.0,0,
05054,Commune simple,1287.0,1027.0,0,
91602,Commune simple,131.0,736.0,0,
52273,Commune simple,367.0,2033.0,0,
27411,Commune simple,152.0,705.0,0,
63366,Commune simple,502.0,1216.0,0,
03263,Commune simple,277.0,2518.0,0,
38114,Commune simple,204.0,674.0,0,
55437,Commune simple,236.0,1431.0,0,
76375,Commune simple,70.0,783.0,0,
76159,Chef-lieu canton,79.0,1360.0,0,
61351,Commune simple,195.0,820.0,0,
64232,Commune simple,186.0,864.0,0,
60069,Chef-lieu canton,122.0,1561.0,0,
48061,Sous-préfecture,847.0,2938.0,0,
46105,Commune simple,225.0,1262.0,0,
40152,Commune simple,79.0,10377.0,0,
27326,Commune simple,89.0,771.0,0,
33543,Commune simple,44.0,475.0,0,
47047,Commune simple,85.0,923.0,0,
29063,Commune simple,61.0,1290.0,0,
03169,Commune simple,332.0,2582.0,0,
29114,Commune simple,195.0,1634.0,0,
68164,Commune simple,350.0,474.0,0,
87119,Chef-lieu canton,302.0,584.0,0,
08409,Sous-préfecture,198.0,1622.0,0,
27166,Commune simple,170.0,1953.0,0,
27695,Commune simple,141.0,480.0,0,
01249,Chef-lieu canton,260.0,2439.0,0,
21245,Commune simple,360.0,1221.0,0,
45115,Chef-lieu canton,169.0,5008.0,0,
25143,Commune simple,299.0,654.0,0,
89102,Commune simple,178.0,2424.0,0,
88017,Commune simple,347.0,441.0,0,
62720,Commune simple,37.0,117.0,0,
72370,Commune simple,99.0,994.0,0,
59434,Commune simple,18.0,587.0,0,
03082,Chef-lieu canton,385.0,2091.0,0,
63395,Commune simple,613.0,978.0,0,
03230,Commune simple,359.0,1929.0,0,
18078,Commune simple,152.0,788.0,0,
50385,Commune simple,100.0,621.0,0,
44191,Commune simple,62.0,3125.0,0,
88124,Chef-lieu canton,309.0,787.0,0,
80572,Commune simple,92.0,1193.0,0,
57693,Commune simple,221.0,244.0,0,
42210,Commune simple,535.0,1205.0,0,
42154,Chef-lieu canton,481.0,858.0,0,
37019,Commune simple,106.0,3098.0,0,
21465,Commune simple,260.0,515.0,0,
29236,Commune simple,51.0,5438.0,0,
09280,Commune simple,1172.0,4470.0,0,
52301,Commune simple,361.0,410.0,0,
04227,Commune simple,688.0,2355.0,0,
76590,Commune simple,147.0,787.0,0,
50312,Commune simple,91.0,792.0,0,
78217,Commune simple,81.0,1337.0,0,
89035,Commune simple,217.0,2444.0,0,
10196,Commune simple,186.0,2594.0,0,
44197,Commune simple,55.0,5516.0,0,
43184,Commune simple,679.0,1083.0,0,
51446,Commune simple,128.0,1534.0,0,
06008,Commune simple,1412.0,1795.0,0,
65447,Chef-lieu canton,354.0,1443.0,0,
89134,Commune simple,309.0,1370.0,0,
78501,Commune simple,29.0,462.0,0,
65412,Commune simple,183.0,1040.0,0,
32080,Commune simple,145.0,1022.0,0,
65141,Commune simple,1549.0,1280.0,0,
07124,Commune simple,855.0,1114.0,0,
29156,Commune simple,115.0,890.0,0,
33341,Commune simple,27.0,1358.0,0,
